Route,Location,URL,Avg Stars,Your Stars,Route Type,Difficulty,Maturity Rating,Maturity Reason,Notes,Pitches,Length,Area Latitude,Area Longitude
A Cream of White Mice,Bulletheads South > The Bulletheads > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/105857119/a-cream-of-white-mice,2.3,-1,Trad,5.9,PG13,Runouts on arete variation and 3rd pitch traverse,,4,,49.67672,-123.15268
The Bottom Line,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/107196033/the-bottom-line,2.2,-1,Trad,5.9-,PG13,risk of ground fall on first pitch,,3,300,49.6863,-123.14736
Sickle,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/107230062/sickle,2.3,-1,Trad,5.9-,UNKNOWN,,,5,500,49.6863,-123.14736
St. Vitus' Dance,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/105843781/st-vitus-dance,3.4,-1,Trad,5.9,G,"Well-protected, good jamming and gear placements","Triples recommended in some cam sizes, offwidth techniques useful",5,600,49.6863,-123.14736
Snake,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106065449/snake,3.2,-1,Trad,5.9,R,Several runout sections and potential fall hazards mentioned,"Bring small gear, doubles in small sizes, and microcams",5,,49.6863,-123.14736
Sparrow,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/108643114/sparrow,2.3,-1,Trad,5.9,R,Long runouts and potential nasty tumble on pitch 4,,7,600,49.6863,-123.14736
Pineapple Peel,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/111878651/pineapple-peel,2.2,-1,Trad,5.9,PG13,Runouts on some pitches,,5,700,49.6863,-123.14736
Long Time No See,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/113441195/long-time-no-see,3.3,-1,Trad,5.9,PG13,Some pitches have tricky protection,Single rack works if not simuling,9,,49.6863,-123.14736
Over The Rainbow,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106188258/over-the-rainbow,2.8,-1,"Trad, Sport",5.9+,G,Comments mention well bolted and adequate protection,"Single set of cams to 2 inches, 8 draws and 4 long slings",7,600,49.6863,-123.14736
Rock On,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/105910904/rock-on,3.6,-1,Trad,5.10a,PG13,"Crux pitch has small gear, but placements may not inspire confidence",,5,400,49.6863,-123.14736
Read Between the Lines,The Apron > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/116839104/read-between-the-lines,3.4,-1,Trad,5.10-,G,Comments mention well-protected pitches and bolts,,5,450,49.6863,-123.14736
Sunshine Breakfast,The Solarium > Stawamus Chief > Squamish > British Columbia > Canada > North America > International,https://www.mountainproject.com/route/106467453/sunshine-breakfast,2.2,-1,Trad,5.9,PG13,Runouts and a possible PG13 grade on the last pitch,,3,,49.6839,-123.1367
